City_ID,City,Country,Max Temp,Currently,Lat,Lng,Hotel Name
2,Rikitea,PF,72.61,Rain,-23.1203,-134.9692,People ThankYou
4,Gambela,ET,69.66,Rain,8.25,34.5833,Solomon Debebe Hotel
5,Morrope,PE,77.11,Clouds,-6.5417,-80.0111,Hipolito santamaria
6,Wladyslawowo,PL,71.15,Clear,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
7,Kodiak,US,65.71,Clear,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
9,Kapaa,US,82.38,Rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Neka,IR,77.45,Clouds,36.6508,53.299,اپارتمان قومش
12,Bambous Virieux,MU,71.22,Rain,-20.3428,57.7575,Casa Tia Villa
14,Kitgum,UG,68.86,Rain,3.2783,32.8867,Jaflo Gardens Hotel
16,Jamestown,US,78.12,Clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Grand Gaube,MU,71.38,Rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
21,Avarua,CK,75.25,Clouds,-21.2078,-159.775,Paradise Inn
23,Ponta Do Sol,PT,77.72,Clear,32.6667,-17.1,Hotel do Campo
25,Arraial Do Cabo,BR,73.26,Clouds,-22.9661,-42.0278,Pousada Porto Praia
27,Sorada,IN,82.62,Clouds,19.75,84.4333,PWD Guest House
28,Kapit,MY,72.64,Clouds,2.0167,112.9333,Hotel Meligai Kapit
29,Jardim,BR,71.4,Rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
32,Calolziocorte,IT,82.35,Clouds,45.7954,9.4377,Osteria Marascia
34,Vaini,TO,73.56,Clouds,-21.2,-175.2,Keleti Beach Resort
38,Morondava,MG,71.83,Clear,-20.2833,44.2833,La Case Bambou
40,Georgetown,MY,82.89,Clouds,5.4112,100.3354,Cititel Penang
42,Sola,VU,80.51,Clear,-13.8833,167.55,Leumerus Bungalows
46,Caravelas,BR,76.5,Clear,-17.7125,-39.2481,Pousada dos Navegantes
47,Touros,BR,76.1,Clouds,-5.1989,-35.4608,INN NEW HORIZON
49,Saint-Philippe,RE,68.22,Clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,Atuona,PF,78.06,Rain,-9.8,-139.0333,Villa Enata
59,Butaritari,KI,83.82,Rain,3.0707,172.7902,Isles Sunset Lodge
62,Port Blair,IN,80.94,Clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
64,Kilindoni,TZ,76.75,Clouds,-7.9139,39.6668,Bustani B&B
66,Camacha,PT,70.56,Clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
67,Kochubey,RU,75.36,Clear,44.3861,46.5825,Придорожный комплекс EUROPA
69,Kibuye,RW,67.42,Clouds,-2.0597,29.3482,Inn on the lake
71,Kearney,US,83.32,Clear,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
72,Komsomolskiy,UZ,77.72,Clouds,40.4272,71.7189,Ikathouse
73,Cabedelo,BR,77.67,Clouds,-6.9811,-34.8339,Hotel Pigalle
75,Ribeira Grande,PT,73.8,Clouds,38.5167,-28.7,Quinta da Meia Eira
78,Kpandu,GH,75.96,Rain,6.9954,0.2931,Emo House
80,Acari,PE,74.12,Clear,-15.4311,-74.6158,HOSPEDAJE XIMENA
