City_ID,City,Lat,Lng,Currently,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Noumea,-22.2763,166.4572,Clear,71.01,99,0,4.12,NC,2021-07-17 16:30:40
1,Sao Joao Da Barra,-21.6403,-41.0511,Clear,84.29,75,3,11.99,BR,2021-07-17 16:28:03
2,Barra Do Garcas,-15.89,-52.2567,Clear,96.17,16,0,2.04,BR,2021-07-17 16:30:40
3,Barrow,71.2906,-156.7887,Rain,48.22,91,90,14.97,US,2021-07-17 16:30:41
4,Manono,-7.3,27.4167,Clouds,81.07,26,42,7.94,CD,2021-07-17 16:30:41
5,Xai-Xai,-25.0519,33.6442,Clear,62.01,71,0,6.89,MZ,2021-07-17 16:30:41
6,Carnarvon,-24.8667,113.6333,Clear,55.47,57,5,6.91,AU,2021-07-17 16:30:41
7,Mbanza-Ngungu,-5.25,14.8667,Clouds,80.2,41,84,4.25,CD,2021-07-17 16:30:42
8,Muborak,39.2553,65.1528,Clouds,88.65,17,67,16.93,UZ,2021-07-17 16:30:42
9,Kapaa,22.0752,-159.319,Clouds,77.32,83,75,13.8,US,2021-07-17 16:30:42
10,Jamestown,42.097,-79.2353,Clouds,74.3,90,90,4.0,US,2021-07-17 16:30:12
11,Moyale,3.5167,39.0584,Clouds,72.59,49,100,8.16,KE,2021-07-17 16:30:42
12,Dingle,10.9995,122.6711,Rain,77.25,89,99,7.63,PH,2021-07-17 16:30:43
13,Yellowknife,62.456,-114.3525,Clouds,56.28,50,20,8.05,CA,2021-07-17 16:30:43
14,Mehamn,71.0357,27.8492,Clouds,50.09,88,83,19.19,NO,2021-07-17 16:30:43
15,Thompson,55.7435,-97.8558,Clouds,50.16,66,90,11.5,CA,2021-07-17 16:30:12
16,Mathbaria,22.2876,89.9593,Clouds,80.94,89,100,4.7,BD,2021-07-17 16:30:44
17,Bredasdorp,-34.5322,20.0403,Clouds,57.27,88,21,3.44,ZA,2021-07-17 16:30:44
18,Rikitea,-23.1203,-134.9692,Rain,72.36,79,41,20.94,PF,2021-07-17 16:30:44
19,Asosa,10.0667,34.5333,Rain,61.14,95,78,1.48,ET,2021-07-17 16:30:44
20,Cape Town,-33.9258,18.4232,Clear,60.28,85,0,9.22,ZA,2021-07-17 16:26:00
21,Busselton,-33.65,115.3333,Clouds,48.04,80,24,6.24,AU,2021-07-17 16:30:45
22,Mugur-Aksy,50.35,90.5,Clouds,50.36,81,73,5.01,RU,2021-07-17 16:30:45
23,Catamarca,-28.4696,-65.7852,Clear,61.05,53,5,4.0,AR,2021-07-17 16:30:44
24,Norman Wells,65.282,-126.8329,Clouds,62.64,48,20,9.22,CA,2021-07-17 16:30:45
25,Boa Viagem,-5.1275,-39.7322,Clouds,89.53,42,85,8.01,BR,2021-07-17 16:26:49
26,Ushuaia,-54.8,-68.3,Clouds,33.46,86,75,2.3,AR,2021-07-17 16:30:45
27,Laibin,23.7,109.2667,Clouds,82.27,75,100,3.47,CN,2021-07-17 16:30:46
28,Vaini,-21.2,-175.2,Clouds,73.56,94,20,6.91,TO,2021-07-17 16:30:46
29,Hobart,-42.8794,147.3294,Clouds,49.26,82,75,1.99,AU,2021-07-17 16:28:15
30,Port Alfred,-33.5906,26.891,Clear,59.18,69,1,10.33,ZA,2021-07-17 16:30:46
31,Ilulissat,69.2167,-51.1,Clouds,59.02,41,40,5.75,GL,2021-07-17 16:30:46
32,Avera,33.194,-82.5271,Clouds,89.94,50,44,6.2,US,2021-07-17 16:30:47
33,Lavrentiya,65.5833,-171.0,Clouds,45.5,92,100,7.96,RU,2021-07-17 16:30:47
34,Samdari,25.8167,72.5833,Rain,94.57,51,98,12.62,IN,2021-07-17 16:30:47
35,Kismayo,-0.3582,42.5454,Clear,77.04,77,8,19.35,SO,2021-07-17 16:30:47
36,Maun,-19.9833,23.4167,Clouds,69.76,30,20,3.44,BW,2021-07-17 16:30:48
37,Fort Nelson,58.8053,-122.7002,Rain,47.79,93,90,5.75,CA,2021-07-17 16:30:13
38,Warrnambool,-38.3833,142.4833,Clouds,49.8,72,90,16.44,AU,2021-07-17 16:30:48
39,Huarmey,-10.0681,-78.1522,Clouds,70.03,69,37,10.47,PE,2021-07-17 16:30:48
40,Punta Arenas,-53.15,-70.9167,Clouds,35.71,93,75,6.91,CL,2021-07-17 16:30:49
