City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hue,16.4667,107.6,84.31,79,20,4.61,VN,2021-07-15 00:18:00
1,Homer,59.6425,-151.5483,66.07,74,75,11.5,US,2021-07-15 00:20:45
2,Arraial Do Cabo,-22.9661,-42.0278,71.56,83,0,11.5,BR,2021-07-15 00:20:45
3,Barrow,71.2906,-156.7887,37.42,75,75,9.22,US,2021-07-15 00:17:10
4,Nikolskoye,59.7035,30.7861,71.49,91,100,0.98,RU,2021-07-15 00:20:46
5,Tommot,58.9564,126.2925,69.06,65,100,8.34,RU,2021-07-15 00:20:46
6,Victoria,22.2855,114.1577,90.25,78,11,1.99,HK,2021-07-15 00:15:48
7,Bredasdorp,-34.5322,20.0403,43.92,81,79,8.05,ZA,2021-07-15 00:19:37
8,Albany,42.6001,-73.9662,75.61,94,19,4.56,US,2021-07-15 00:20:20
9,Narodychi,51.2029,29.0823,70.32,82,1,6.64,UA,2021-07-15 00:20:47
10,Hithadhoo,-0.6,73.0833,82.02,75,94,8.41,MV,2021-07-15 00:20:47
11,Rikitea,-23.1203,-134.9692,73.11,71,0,7.67,PF,2021-07-15 00:20:09
12,Ushuaia,-54.8,-68.3,29.86,86,75,3.44,AR,2021-07-15 00:17:58
13,Ocampo,21.65,-101.5,72.28,56,81,15.14,MX,2021-07-15 00:20:47
14,Ribeira Grande,38.5167,-28.7,70.2,88,75,5.75,PT,2021-07-15 00:20:47
15,Koutiala,12.3917,-5.4642,79.97,65,100,7.11,ML,2021-07-15 00:20:48
16,Hobart,-42.8794,147.3294,51.26,92,75,1.01,AU,2021-07-15 00:16:10
17,Mataura,-46.1927,168.8643,46.47,74,82,0.49,NZ,2021-07-15 00:20:48
18,Esperance,-33.8667,121.9,49.84,70,66,33.6,AU,2021-07-15 00:18:21
19,Punta Arenas,-53.15,-70.9167,37.51,93,90,3.44,CL,2021-07-15 00:19:04
20,Pleasanton,37.6624,-121.8747,88.52,42,1,1.99,US,2021-07-15 00:20:41
21,Vaini,-21.2,-175.2,71.76,94,90,12.66,TO,2021-07-15 00:20:48
